,Model,Accel,batchsize,avg_runtime,50th_pct,90th_pct,95th_pct
0,clip-vit-base-patch16,onnxruntime_cpu,1,91.8889093399047,90.5244350433349,95.5910205841064,97.8735923767089
1,clip-vit-base-patch16,onnxruntime_cpu,2,113.1584525108337,126.04808807373041,137.1208190917968,142.14379787445068
2,clip-vit-base-patch16,onnxruntime_cpu,3,134.0444286664327,133.4760189056396,177.4453639984131,180.1066040992736
3,clip-vit-base-patch16,onnxruntime_cpu,4,158.5668224096298,166.1709547042846,231.63743019103998,233.8119149208068
4,clip-vit-base-patch16,onnxruntime_cpu,5,184.32441711425778,175.4500865936279,283.7390661239624,287.2929096221924
5,clip-vit-base-patch16,onnxruntime_cpu,6,209.0828915437062,218.4854745864868,328.43098640441895,331.45732879638666
6,clip-vit-base-patch16,onnxruntime_cpu,7,233.43228476388109,230.4949760437011,376.324200630188,379.7240257263183
7,clip-vit-base-patch16,onnxruntime_cpu,8,258.140364587307,276.6960859298706,419.6687698364257,426.4755964279175
8,clip-vit-base-patch16,onnxruntime_cpu,9,282.6606591542562,283.7542295455932,463.1363868713379,472.47811555862415
9,clip-vit-base-patch16,onnxruntime_cpu,10,311.66650509834284,324.628472328186,518.9826726913452,538.7261629104614
10,clip-vit-base-patch16,onnxruntime_cpu,11,352.0347929000854,329.4223546981811,584.210205078125,710.5876207351681
11,clip-vit-base-patch16,onnxruntime_cpu,12,388.4060114622116,371.8210458755493,691.7738914489747,846.6994404792783
12,clip-vit-base-patch16,onnxruntime_cpu,13,425.8615281031682,377.7863979339599,783.6699247360234,947.7731585502625
13,clip-vit-base-patch16,onnxruntime_cpu,14,462.1226159163883,415.1316881179809,857.5343132019043,986.4012241363525
14,clip-vit-base-patch16,onnxruntime_cpu,15,492.75095383326214,424.0967035293579,906.8715810775756,974.0420937538148
15,clip-vit-base-patch16,onnxruntime_cpu,16,526.1659900844097,461.4515304565429,992.8230524063111,1013.7435913085938
16,clip-vit-base-patch16,onnxruntime_cpu,17,562.2359818570754,470.5125093460083,1019.3529605865479,1066.8203353881836
17,clip-vit-base-patch16,onnxruntime_cpu,18,611.0724291536543,519.1124677658081,1067.8612232208252,1223.9798784255981
18,clip-vit-base-patch16,onnxruntime_cpu,19,650.2354473816722,538.8705730438232,1172.7745056152344,1314.9363279342651
19,clip-vit-base-patch16,onnxruntime_cpu,20,689.2562341690063,600.8280515670776,1241.9777870178223,1403.2613158226013
20,clip-vit-base-patch16,onnxruntime_cpu,21,735.3865354401726,663.0945205688477,1290.963864326477,1573.5429167747498
21,clip-vit-base-patch16,onnxruntime_cpu,22,781.8717451529069,701.3895511627197,1398.6275911331181,1957.4510574340811
22,clip-vit-base-patch16,onnxruntime_cpu,23,828.8856856719308,757.4440240859985,1521.9224929809566,2133.591365814207
23,clip-vit-base-patch16,onnxruntime_cpu,24,874.8448803027471,833.1844806671143,1630.186891555786,2237.6347899436932
24,clip-vit-base-patch16,onnxruntime_cpu,25,926.1122569084168,854.1769981384277,1816.9482469558716,2374.4973301887503
25,clip-vit-base-patch16,onnxruntime_cpu,26,995.0300158904148,898.6189365386963,2186.5053653717036,2609.86256599426
26,clip-vit-base-patch16,onnxruntime_cpu,27,1064.6724527853505,906.8783521652222,2412.863683700561,2782.038879394531
27,clip-vit-base-patch16,onnxruntime_cpu,28,1134.512970617839,927.9354810714722,2644.9296712875366,2946.611475944518
28,clip-vit-base-patch16,onnxruntime_cpu,29,1194.9369390257473,994.583249092102,2763.648772239685,3037.2825860977173
29,clip-vit-base-patch16,onnxruntime_cpu,30,1254.6486725012462,1005.9939622879028,2857.7213525772095,3111.8230938911433
30,clip-vit-base-patch16,onnxruntime_cpu,31,1314.132331494362,1046.40793800354,2956.8539381027217,3159.796869754791
31,clip-vit-base-patch16,onnxruntime_cpu,32,1372.9502703994513,1063.319206237793,3042.951035499573,3202.6650667190547
32,clip-vit-base-patch32,onnxruntime_cpu,1,65.4358506202697,62.4343156814575,68.8517093658447,76.576542854309
33,clip-vit-base-patch32,onnxruntime_cpu,2,70.29093027114861,70.8340406417846,78.8705348968505,81.62506818771361
34,clip-vit-base-patch32,onnxruntime_cpu,3,74.8679081598917,74.8924016952514,85.5260133743286,88.312029838562
35,clip-vit-base-patch32,onnxruntime_cpu,4,78.2676076889038,80.2164077758789,89.5026922225952,91.595184803009
36,clip-vit-base-patch32,onnxruntime_cpu,5,82.2872419357299,83.9534997940063,97.2379922866821,100.0041007995605
37,clip-vit-base-patch32,onnxruntime_cpu,6,86.98710083961481,86.1279964447021,109.2379570007324,111.26015186309809
38,clip-vit-base-patch32,onnxruntime_cpu,7,91.2842290742056,88.6869430541992,115.8019065856933,118.17564964294431
39,clip-vit-base-patch32,onnxruntime_cpu,8,95.78295081853861,93.5595035552978,125.03983974456781,127.9888391494751
40,clip-vit-base-patch32,onnxruntime_cpu,9,100.4994315571255,97.2691774368286,133.82773399353022,137.9308342933654
41,clip-vit-base-patch32,onnxruntime_cpu,10,105.7494487762451,105.6468486785888,144.8252201080322,151.5286087989806
42,clip-vit-base-patch32,onnxruntime_cpu,11,112.0250990174033,109.93492603302,156.99777603149408,167.2220587730407
43,clip-vit-base-patch32,onnxruntime_cpu,12,118.15216978391011,114.5980358123779,171.0114002227783,179.4701099395751
44,clip-vit-base-patch32,onnxruntime_cpu,13,123.22829301540659,117.1135902404785,178.66394519805908,185.4733705520629
45,clip-vit-base-patch32,onnxruntime_cpu,14,129.35457689421509,123.1389045715332,191.5483713150024,206.1268091201782
46,clip-vit-base-patch32,onnxruntime_cpu,15,135.181078116099,127.0345449447631,208.0031633377075,215.0083541870117
47,clip-vit-base-patch32,onnxruntime_cpu,16,140.6007644534111,133.21053981781,216.1470651626587,220.90227603912348
48,clip-vit-base-patch32,onnxruntime_cpu,17,146.2379326539881,137.5864744186401,221.82867527008048,233.3004236221313
49,clip-vit-base-patch32,onnxruntime_cpu,18,151.7342551549275,144.9015140533447,233.5264682769775,242.5490498542785
50,clip-vit-base-patch32,onnxruntime_cpu,19,157.0923916917098,151.651382446289,242.5491571426391,249.8223304748535
51,clip-vit-base-patch32,onnxruntime_cpu,20,162.72206783294672,159.1185331344604,249.2147445678711,263.465404510498
52,clip-vit-base-patch32,onnxruntime_cpu,21,168.3359712646121,167.2734022140503,262.6328706741333,273.3695149421691
53,clip-vit-base-patch32,onnxruntime_cpu,22,173.75126751986411,173.1516122817993,272.4409580230713,281.9522619247436
54,clip-vit-base-patch32,onnxruntime_cpu,23,179.1724328372789,176.9901514053344,279.7501802444458,291.0265326499939
55,clip-vit-base-patch32,onnxruntime_cpu,24,184.5476096868515,181.0725927352905,288.86451721191395,299.81628656387323
56,clip-vit-base-patch32,onnxruntime_cpu,25,190.1394773483276,189.30351734161368,296.9703197479248,311.3334655761715
57,clip-vit-base-patch32,onnxruntime_cpu,26,195.4938399791717,202.83055305480949,307.1485519409179,323.1748700141906
58,clip-vit-base-patch32,onnxruntime_cpu,27,201.2633907353436,208.0084085464477,318.9797639846802,333.10637474060053
59,clip-vit-base-patch32,onnxruntime_cpu,28,206.8371844291687,212.4919891357422,328.7910223007202,344.0126657485962
60,clip-vit-base-patch32,onnxruntime_cpu,29,212.33666929705387,216.8323993682861,337.9152297973632,355.81209659576416
