,model,accelerator,batch_size,avg_runtime,50th_pct_runtime,90th_pct_runtime,95th_pct_runtime
0,yolov5n,1080ti,1,0.008679887771606446,0.008592844009399414,0.008655571937561035,0.009386551380157471
1,yolov5n,1080ti,2,0.0170984628200531,0.015970468521118164,0.01719188690185547,0.01721245050430298
2,yolov5n,1080ti,4,0.03652616238594055,0.03875291347503662,0.040705180168151854,0.04076483249664307
3,yolov5n,1080ti,8,0.08022437500953675,0.07932567596435547,0.07952816486358642,0.07975530624389648
4,yolov5n,1080ti,16,0.15575400304794312,0.15413415431976318,0.1546100854873657,0.15492570400238037
5,yolov5n,1080ti,32,0.29800899934768676,0.29365015029907227,0.29493911266326905,0.31680434942245483
6,yolov5n,1080ti,64,0.6027870342731476,0.5870624780654907,0.6647554636001587,0.6816906690597534
7,yolov5s,1080ti,1,0.013063832759857178,0.013157844543457031,0.01318671703338623,0.013202238082885741
8,yolov5s,1080ti,2,0.02417578363418579,0.02241659164428711,0.02256464958190918,0.02262691259384155
9,yolov5s,1080ti,4,0.0476503279209137,0.047714948654174805,0.05026531219482422,0.050315237045288085
10,yolov5s,1080ti,8,0.0998635115623474,0.09755265712738037,0.09777963161468506,0.09801663160324096
11,yolov5s,1080ti,16,0.181141455411911,0.17772150039672852,0.17901308536529542,0.17940735816955566
12,yolov5s,1080ti,32,0.360828428030014,0.3537478446960449,0.3554121971130371,0.37711204290390016
13,yolov5s,1080ti,64,0.7274004147052765,0.7075847387313843,0.7878034591674805,0.7996834874153137
14,yolov5m,1080ti,1,0.018598027467727662,0.018595457077026367,0.01869964599609375,0.018721675872802733
15,yolov5m,1080ti,2,0.036125335931777955,0.031111717224121094,0.03121781349182129,0.03124645948410034
16,yolov5m,1080ti,4,0.0700430781841278,0.06564056873321533,0.06943755149841309,0.06954437494277954
17,yolov5m,1080ti,8,0.13595151734352112,0.13017594814300537,0.13085391521453857,0.13202630281448363
18,yolov5m,1080ti,16,0.25686780738830567,0.2491898536682129,0.250699782371521,0.2515462279319763
19,yolov5m,1080ti,32,0.5031346304416656,0.4910193681716919,0.4941732406616211,0.5004150152206421
20,yolov5m,1080ti,64,1.0030787901878357,0.9826565980911255,1.075927996635437,1.0780401825904846
21,yolov5l,1080ti,1,0.02655117201805115,0.026564955711364746,0.026760172843933106,0.026831221580505372
22,yolov5l,1080ti,2,0.05683865475654602,0.04483485221862793,0.045128464698791504,0.045229339599609376
23,yolov5l,1080ti,4,0.09941175174713135,0.09050893783569336,0.09215164184570312,0.09258496761322021
24,yolov5l,1080ti,8,0.18708352494239808,0.17913925647735596,0.1803419828414917,0.18125070333480836
25,yolov5l,1080ti,16,0.3535823152065277,0.34268736839294434,0.34464943408966064,0.34532982110977173
26,yolov5l,1080ti,32,0.6966576664447784,0.6766172647476196,0.6810414791107178,0.7254963040351866
27,yolov5l,1080ti,64,1.3650525288581847,1.3399622440338135,1.4318654775619506,1.4346890091896056
28,yolov5x,1080ti,1,0.04061353182792664,0.040544986724853516,0.04119863510131836,0.041280925273895264
29,yolov5x,1080ti,2,0.08736233735084534,0.07099485397338867,0.07215454578399658,0.07278339862823487
30,yolov5x,1080ti,4,0.14989417934417726,0.12869060039520264,0.13144340515136718,0.13158727884292604
31,yolov5x,1080ti,8,0.2910034444332123,0.2704453468322754,0.2721269607543945,0.27245489358901975
32,yolov5x,1080ti,16,0.5220343761444092,0.4984208345413208,0.5014080047607422,0.5022253155708313
33,yolov5x,1080ti,32,1.0197866065502166,0.9910193681716919,0.9957228183746338,1.0288046002388
34,yolov5x,1080ti,64,2.012738306045532,1.9821282625198364,2.0723767042160035,2.0775967836380005
35,eb0_checkpoint_150epochs,1080ti,1,0.0030918631553649902,0.0030879974365234375,0.003099226951599121,0.003109467029571533
36,eb0_checkpoint_150epochs,1080ti,2,0.005393417835235595,0.004178762435913086,0.004185676574707031,0.004188311100006103
37,eb0_checkpoint_150epochs,1080ti,4,0.007855067729949951,0.0066988468170166016,0.0067081451416015625,0.0067119598388671875
38,eb0_checkpoint_150epochs,1080ti,8,0.012315689325332642,0.010862469673156738,0.011047792434692385,0.01198960542678833
39,eb0_checkpoint_150epochs,1080ti,16,0.021446902990341188,0.019318819046020508,0.021297478675842287,0.02130845785140991
40,eb0_checkpoint_150epochs,1080ti,32,0.04428832030296326,0.03738999366760254,0.03745083808898926,0.03748632669448852
41,eb0_checkpoint_150epochs,1080ti,64,0.07872925782203674,0.07104206085205078,0.07116415500640869,0.07119538784027099
42,eb1_checkpoint_150epochs,1080ti,1,0.004419708728790283,0.004411101341247559,0.004429149627685547,0.004450571537017822
43,eb1_checkpoint_150epochs,1080ti,2,0.007406588554382324,0.005576729774475098,0.0055844783782958984,0.005587577819824219
44,eb1_checkpoint_150epochs,1080ti,4,0.010300230264663696,0.008392810821533203,0.008402347564697266,0.00840616226196289
45,eb1_checkpoint_150epochs,1080ti,8,0.016753751277923584,0.014692544937133789,0.01471879482269287,0.014727354049682617
46,eb1_checkpoint_150epochs,1080ti,16,0.02922190999984741,0.026876449584960938,0.026921510696411133,0.026935386657714843
47,eb1_checkpoint_150epochs,1080ti,32,0.06143031048774719,0.05040252208709717,0.050464415550231935,0.050487053394317624
48,eb1_checkpoint_150epochs,1080ti,64,0.1081517333984375,0.09585988521575928,0.0961759328842163,0.09623100757598876
49,eb2_checkpoint_150epochs,1080ti,1,0.004411516427993775,0.004402875900268555,0.004417681694030761,0.004432022571563721
50,eb2_checkpoint_150epochs,1080ti,2,0.007961781978607177,0.005964994430541992,0.005972146987915039,0.005974781513214111
51,eb2_checkpoint_150epochs,1080ti,4,0.010838032007217406,0.008806705474853516,0.008818387985229492,0.008823871612548828
52,eb2_checkpoint_150epochs,1080ti,8,0.017849385023117066,0.01555323600769043,0.015581846237182617,0.015590202808380128
53,eb2_checkpoint_150epochs,1080ti,16,0.031122586011886597,0.028654813766479492,0.028691840171813966,0.028704452514648437
54,eb2_checkpoint_150epochs,1080ti,32,0.06403973221778869,0.0521007776260376,0.05214734077453613,0.052169406414031984
55,eb2_checkpoint_150epochs,1080ti,64,0.11405292510986328,0.10083603858947754,0.1010831356048584,0.10118582248687744
56,eb3_checkpoint_150epochs,1080ti,1,0.00529514741897583,0.005289316177368164,0.005297446250915527,0.005301237106323242
57,eb3_checkpoint_150epochs,1080ti,2,0.01012168264389038,0.00740814208984375,0.007416963577270508,0.00742030143737793
58,eb3_checkpoint_150epochs,1080ti,4,0.014140572309494018,0.011384963989257812,0.011396670341491699,0.011400699615478516
59,eb3_checkpoint_150epochs,1080ti,8,0.023055140733718872,0.020038604736328125,0.02006392478942871,0.02007819414138794
60,eb3_checkpoint_150epochs,1080ti,16,0.03954522967338562,0.03620350360870361,0.03624989986419678,0.036270391941070554
61,eb3_checkpoint_150epochs,1080ti,32,0.08364967775344849,0.06810617446899414,0.06816773414611817,0.06819419860839844
62,eb3_checkpoint_150epochs,1080ti,64,0.14846352767944335,0.1310901641845703,0.13182175159454346,0.1322956085205078
63,eb4_checkpoint_150epochs,1080ti,1,0.006873869657516479,0.00686955451965332,0.00687718391418457,0.006880533695220947
64,eb4_checkpoint_150epochs,1080ti,2,0.013706168174743653,0.009824037551879883,0.009833574295043945,0.009837162494659425
65,eb4_checkpoint_150epochs,1080ti,4,0.01914319968223572,0.015124320983886719,0.015138626098632812,0.015142929553985596
66,eb4_checkpoint_150epochs,1080ti,8,0.030972718477249146,0.026726961135864258,0.02676992416381836,0.026780128479003906
67,eb4_checkpoint_150epochs,1080ti,16,0.05347341394424438,0.04873359203338623,0.04877641201019287,0.04879450798034668
68,eb4_checkpoint_150epochs,1080ti,32,0.11426122403144837,0.09157931804656982,0.09178643226623535,0.09183958768844605
69,eb4_checkpoint_150epochs,1080ti,64,0.1998803539276123,0.17451441287994385,0.17566792964935302,0.17597017288208008
70,eb5_checkpoint_150epochs,1080ti,1,0.00929533839225769,0.009293317794799805,0.009302639961242675,0.009306907653808594
71,eb5_checkpoint_150epochs,1080ti,2,0.018792851686477662,0.013160467147827148,0.013171696662902832,0.013175737857818604
72,eb5_checkpoint_150epochs,1080ti,4,0.027184913158416747,0.0214155912399292,0.021448135375976562,0.02145916223526001
73,eb5_checkpoint_150epochs,1080ti,8,0.04301299023628235,0.03685295581817627,0.03688435554504395,0.036896002292633054
74,eb5_checkpoint_150epochs,1080ti,16,0.07294726824760436,0.0660548210144043,0.06639950275421143,0.06645878553390502
75,eb5_checkpoint_150epochs,1080ti,32,0.15580033206939697,0.1231464147567749,0.12364008426666259,0.12375863790512084
76,eb5_checkpoint_150epochs,1080ti,64,0.27680086517333985,0.24080407619476318,0.2424466848373413,0.24274656772613526
77,eb6_checkpoint_150epochs,1080ti,1,0.01186153531074524,0.011859893798828125,0.011870622634887695,0.011874449253082276
78,eb6_checkpoint_150epochs,1080ti,2,0.024682830333709715,0.01709437370300293,0.017175459861755372,0.01718188524246216
79,eb6_checkpoint_150epochs,1080ti,4,0.035109907865524294,0.027361750602722168,0.027393627166748046,0.027404320240020753
80,eb6_checkpoint_150epochs,1080ti,8,0.05590452766418457,0.04781365394592285,0.04788827896118164,0.04790117740631104
81,eb6_checkpoint_150epochs,1080ti,16,0.09591369080543519,0.0866473913192749,0.08717865943908691,0.08747254610061646
82,eb6_checkpoint_150epochs,1080ti,32,0.204427925825119,0.16165876388549805,0.1621927499771118,0.16235923767089844
83,eb6_checkpoint_150epochs,1080ti,64,0.36521496510505674,0.3175266981124878,0.3200660467147827,0.3206175327301025
