,model,accelerator,batch_size,avg_runtime,50th_pct_runtime,90th_pct_runtime,95th_pct_runtime
0,yolov5n,1080ti,1,0.008679887771606450,0.008592844009399410,0.008655571937561040,0.009386551380157470
1,yolov5n,1080ti,2,0.0170984628200531,0.015970468521118200,0.01719188690185550,0.01721245050430300
2,yolov5n,1080ti,4,0.03652616238594060,0.03875291347503660,0.040705180168151900,0.04076483249664310
3,yolov5n,1080ti,8,0.08022437500953680,0.07932567596435550,0.07952816486358640,0.07975530624389650
4,yolov5n,1080ti,16,0.15575400304794300,0.15413415431976300,0.1546100854873660,0.15492570400238000
5,yolov5n,1080ti,32,0.29800899934768700,0.29365015029907200,0.29493911266326900,0.31680434942245500
6,yolov5n,1080ti,64,0.6027870342731480,0.5870624780654910,0.6647554636001590,0.6816906690597530
7,yolov5s,1080ti,1,0.013063832759857200,0.013157844543457000,0.01318671703338620,0.013202238082885700
8,yolov5s,1080ti,2,0.02417578363418580,0.02241659164428710,0.02256464958190920,0.02262691259384160
9,yolov5s,1080ti,4,0.0476503279209137,0.047714948654174800,0.05026531219482420,0.050315237045288100
10,yolov5s,1080ti,8,0.0998635115623474,0.09755265712738040,0.09777963161468510,0.09801663160324100
11,yolov5s,1080ti,16,0.181141455411911,0.17772150039672900,0.17901308536529500,0.17940735816955600
12,yolov5s,1080ti,32,0.360828428030014,0.3537478446960450,0.3554121971130370,0.37711204290390000
13,yolov5s,1080ti,64,0.7274004147052770,0.7075847387313840,0.7878034591674810,0.7996834874153140
14,yolov5m,1080ti,1,0.018598027467727700,0.018595457077026400,0.01869964599609380,0.018721675872802700
15,yolov5m,1080ti,2,0.036125335931778000,0.031111717224121100,0.03121781349182130,0.03124645948410030
16,yolov5m,1080ti,4,0.0700430781841278,0.06564056873321530,0.06943755149841310,0.06954437494277950
17,yolov5m,1080ti,8,0.13595151734352100,0.13017594814300500,0.13085391521453900,0.13202630281448400
18,yolov5m,1080ti,16,0.25686780738830600,0.2491898536682130,0.250699782371521,0.2515462279319760
19,yolov5m,1080ti,32,0.5031346304416660,0.4910193681716920,0.4941732406616210,0.5004150152206420
20,yolov5m,1080ti,64,1.0030787901878400,0.9826565980911260,1.075927996635440,1.0780401825904800
21,yolov5l,1080ti,1,0.02655117201805120,0.026564955711364700,0.026760172843933100,0.026831221580505400
22,yolov5l,1080ti,2,0.05683865475654600,0.04483485221862790,0.045128464698791500,0.045229339599609400
23,yolov5l,1080ti,4,0.09941175174713140,0.09050893783569340,0.09215164184570310,0.09258496761322020
24,yolov5l,1080ti,8,0.18708352494239800,0.17913925647735600,0.1803419828414920,0.18125070333480800
25,yolov5l,1080ti,16,0.3535823152065280,0.34268736839294400,0.34464943408966100,0.34532982110977200
26,yolov5l,1080ti,32,0.6966576664447780,0.6766172647476200,0.6810414791107180,0.7254963040351870
27,yolov5l,1080ti,64,1.3650525288581800,1.3399622440338100,1.4318654775619500,1.4346890091896100
28,yolov5x,1080ti,1,0.04061353182792660,0.040544986724853500,0.04119863510131840,0.041280925273895300
29,yolov5x,1080ti,2,0.08736233735084530,0.07099485397338870,0.07215454578399660,0.07278339862823490
30,yolov5x,1080ti,4,0.14989417934417700,0.12869060039520300,0.13144340515136700,0.13158727884292600
31,yolov5x,1080ti,8,0.2910034444332120,0.2704453468322750,0.2721269607543950,0.27245489358902000
32,yolov5x,1080ti,16,0.5220343761444090,0.4984208345413210,0.5014080047607420,0.5022253155708310
33,yolov5x,1080ti,32,1.0197866065502200,0.9910193681716920,0.9957228183746340,1.0288046002388
