,model,mult_factor,car_classification,facial_recognition
0,yolov5n,2.5842696629213500,0.7680944305343670,0.23190556946563300
1,yolov5s,5.4637640449438200,0.9320890630030230,0.06791093699697690
2,yolov5m,14.372752808988800,0.9584700482918560,0.041529951708143900
3,yolov5l,18.20702247191010,0.9594310837171900,0.040568916282809600
4,yolov5x,18.894241573033700,0.9428860414404000,0.05711395855960010
